Question String,Pronoun,Split1,Split2,Option1,Option2 
Apple indicated that the Siri program would not be available for previous IPhones because they do not have the capabilities to run such a program.,they,Apple indicated that the Siri program would not be available for previous IPhones because,they do not have the capabilities to run such a program.,Apple,previous IPhones
"Apple indicated that the Siri program would not be available for previous IPhones, but they were proven wrong when hackers were successful.",they,"Apple indicated that the Siri program would not be available for previous IPhones, but",they were proven wrong when hackers were successful.,Apple,previous IPhones
Commissioner Gordon has to constantly call upon Batman because he is not able to stop the criminals himself.,he,Commissioner Gordon has to constantly call upon Batman because,he is not able to stop the criminals himself.,Commissioner Gordon,Batman
Commissioner Gordon has to constantly call upon Batman since he is an extremely efficient crime fighter.,he,Commissioner Gordon has to constantly call upon Batman since,he is an extremely efficient crime fighter.,Commissioner Gordon,Batman
"Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, because she also could not come to terms with her husband.",she,"Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, because",she also could not come to terms with her husband.,Kim Kardashian,Demi Moore
"Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, but she would not want people to experience her same sadness.",she,"Kim Kardashian has already followed in the steps of Demi Moore and getting divorced, but",she would not want people to experience her same sadness.,Kim Kardashian,Demi Moore
Saturday Night Live often has politicians as one of their main centers of attention since they are what viewers want to see joked about.,they,Saturday Night Live often has politicians as one of their main centers of attention since,they are what viewers want to see joked about.,Saturday Night Live,politicians
Saturday Night Live often has politicians as one of their main centers of attention because they want to keep viewers entertained.,they,Saturday Night Live often has politicians as one of their main centers of attention because,they want to keep viewers entertained.,Saturday Night Live,politicians
Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since they need to pull fans to their game instead.,they,Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since,they need to pull fans to their game instead.,Modern Warfare,Battlefield 3
Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since they already have a solid grasp on many players that would consider purchasing a new similar game.,they,Modern Warfare has big expectations to live up to due to the successful release of Battlefield 3 since,they already have a solid grasp on many players that would consider purchasing a new similar game.,Modern Warfare,Battlefield 3
